,Date,Transaction,Name,Amount,Vendor
0,12/1/2017,DEBIT,DEBIT PURCHASE -VISA AMAZON DIGITAL S888-802-3080WA,-26.48,Amazon
1,12/1/2017,DEBIT,DEBIT PURCHASE -VISA TWC*TIMEWARNERCA513-469-1112OH,-90.59,Time Warner
2,12/4/2017,DEBIT,DEBIT PURCHASE -VISA MARATHON PETRO10LEXINGTON   KY,-15.21,Marathon
3,12/4/2017,DEBIT,WEB AUTHORIZED PMT CAPITAL ONE,-45.6,Capital One
4,12/5/2017,DEBIT,WEB AUTHORIZED PMT PL*LeinbachCompa,-727.53,Leinbach Rent
5,12/6/2017,DEBIT,DEBIT PURCHASE -VISA DELTA DENTAL OF OKEMOS      MI,-25.19,Delta Dental
6,12/8/2017,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,812.5,Conduent
7,12/8/2017,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL H402-935-7733CA,-15.0,Humble
8,12/11/2017,DEBIT,DEBIT PURCHASE -VISA FANDANGO.COM    FANDANGO.COMCA,-20.27,Fandango
9,12/11/2017,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-25.49,Kroger
10,12/11/2017,DEBIT,DEBIT PURCHASE -VISA AUTO AIR & VACUUPLAINVIEW   NY,-1.25,Air and Vacuum
11,12/11/2017,DEBIT,DEBIT PURCHASE - VISA Spotify USA     646-8375380 NY,-5.29,Spotify
12,12/11/2017,DEBIT,DEBIT PURCHASE - VISA AmazonPrime Membamzn.com/prmWA,-11.65,Amazon
13,12/11/2017,DEBIT,DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY,-11.58,Costco
14,12/11/2017,DEBIT,DEBIT PURCHASE KROGER    3101 RLEXINGTON   KY,-12.23,Kroger
15,12/11/2017,DEBIT,DEBIT PURCHASE - VISA DSC*DOLLAR SHAVE866-2232780 CA,-3.0,Dollar Shave Club
16,12/11/2017,DEBIT,DEBIT PURCHASE -VISA WMV*MATCH.COM   800-326-5161TX,-26.39,Match
17,12/11/2017,DEBIT,DEBIT PURCHASE TARGET T- 1940 PLexington   KY,-37.09,Target
18,12/12/2017,DEBIT,DEBIT PURCHASE -VISA AUTO AIR & VACUUPLAINVIEW   NY,-1.5,Air and Vacuum
19,12/13/2017,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-10.44,Kroger
20,12/15/2017,DEBIT,DEBIT PURCHASE -VISA Audible         adbl.co/billNJ,-15.85,Audible
21,12/15/2017,DEBIT,DEBIT PURCHASE -VISA Audible US      888-283-5051NJ,-1.84,Audible
22,12/15/2017,DEBIT,DEBIT PURCHASE -VISA Audible US      888-283-5051NJ,-1.05,Audible
23,12/15/2017,DEBIT,DEBIT PURCHASE -VISA Audible US      888-283-5051NJ,-9.25,Audible
24,12/15/2017,DEBIT,WEB AUTHORIZED PMT CAPITAL ONE,-230.9,Capital One
25,12/18/2017,DEBIT,DEBIT PURCHASE -VISA STARBUCKS       800-782-7282WA,-10.0,Starbucks
26,12/18/2017,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-13.12,Kroger
27,12/18/2017,DEBIT,DEBIT PURCHASE -VISA SP * MVMT WATCHEMVMTWATCHES.CA,-85.0,Mvmt
28,12/18/2017,DEBIT,DEBIT PURCHASE -VISA REGAL CINEMAS HALEXINGTON   KY,-9.52,Regal Cinema
29,12/18/2017,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-8.83,Kroger
30,12/21/2017,DEBIT,DEBIT PURCHASE -VISA 1170 GREAT CLIPSLEXINGTON   KY,-25.0,Great Clips
31,12/21/2017,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-3.89,Kroger
32,12/22/2017,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,1062.94,Conduent
33,12/22/2017,DEBIT,DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY,-42.92,Costco
34,12/22/2017,DEBIT,DEBIT PURCHASE BARNESNOBLE 1932Lexington   KY,-23.32,Liquor Barn
35,12/22/2017,DEBIT,DEBIT PURCHASE KROGER 4750 HARTLEXINGTON   KY,-2.51,Kroger
36,12/22/2017,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-32.83,Kroger
37,12/26/2017,DEBIT,DEBIT PURCHASE - VISA PAYPAL *MUMBLEBO402-935-7733CA,-2.19,PayPal
38,12/26/2017,DEBIT,DEBIT PURCHASE -VISA Valve           425-8899642 WA,-1.99,Valve
39,12/26/2017,DEBIT,DEBIT PURCHASE -VISA Valve           425-8899642 WA,-12.98,Valve
40,12/26/2017,DEBIT,DEBIT PURCHASE - VISA STEAMGAMES.COM  425-889-9642WA,-9.74,Steam
41,12/26/2017,DEBIT,ELECTRONIC WITHDRAWAL PARK FCU,-199.09,Park FCU
42,12/27/2017,DEBIT,DEBIT PURCHASE -VISA BP#2661320SALYERSALYERSVILLEKY,-0.99,BP
43,12/28/2017,DEBIT,DEBIT PURCHASE -VISA Steamgames.com42425-9522985 WA,-19.98,Steam
44,12/28/2017,DEBIT,DEBIT PURCHASE -VISA BLUE GRASS ENERG888-5464243 KY,-100.01,Blue Grass Energy
45,12/28/2017,DEBIT,DEBIT PURCHASE Wal-Mart Store  LEXINGTON (SKY,-4.1,Wal-Mart
