"Date","Transaction","Name","Memo","Amount"
"12/1/2017","DEBIT","DEBIT PURCHASE -VISA AMAZON DIGITAL S888-802-3080WA","Download from usbank.com. AMAZON DIGITAL S888-802-3080WA","-26.4800"
"12/1/2017","DEBIT","DEBIT PURCHASE -VISA TWC*TIMEWARNERCA513-469-1112OH","Download from usbank.com. TWC*TIMEWARNERCA513-469-1112OH","-90.5900"
"12/4/2017","DEBIT","DEBIT PURCHASE -VISA MARATHON PETRO10LEXINGTON   KY","Download from usbank.com. MARATHON PETRO10LEXINGTON   KY","-15.2100"
"12/4/2017","DEBIT","WEB AUTHORIZED PMT CAPITAL ONE","Download from usbank.com. CAPITAL ONE","-45.6000"
"12/5/2017","DEBIT","WEB AUTHORIZED PMT PL*LeinbachCompa","Download from usbank.com. PL*LeinbachCompa","-727.5300"
"12/6/2017","DEBIT","DEBIT PURCHASE -VISA DELTA DENTAL OF OKEMOS      MI","Download from usbank.com. DELTA DENTAL OF OKEMOS      MI","-25.1900"
"12/8/2017","CREDIT","ELECTRONIC DEPOSIT Conduent Bus Svc","Download from usbank.com. Conduent Bus Svc","812.5000"
"12/8/2017","DEBIT","DEBIT PURCHASE -VISA PP*HUMBLEBUNDL H402-935-7733CA","Download from usbank.com. PP*HUMBLEBUNDL H402-935-7733CA","-15.0000"
"12/11/2017","DEBIT","DEBIT PURCHASE -VISA FANDANGO.COM    FANDANGO.COMCA","Download from usbank.com. FANDANGO.COM    FANDANGO.COMCA","-20.2700"
"12/11/2017","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY","Download from usbank.com. KROGER FUEL #872LEXINGTON   KY","-25.4900"
"12/11/2017","DEBIT","DEBIT PURCHASE -VISA AUTO AIR & VACUUPLAINVIEW   NY","Download from usbank.com. AUTO AIR & VACUUPLAINVIEW   NY","-1.2500"
"12/11/2017","DEBIT","DEBIT PURCHASE - VISA Spotify USA     646-8375380 NY","Download from usbank.com. Spotify USA     646-8375380 NY","-5.2900"
"12/11/2017","DEBIT","DEBIT PURCHASE - VISA AmazonPrime Membamzn.com/prmWA","Download from usbank.com. AmazonPrime Membamzn.com/prmWA","-11.6500"
"12/11/2017","DEBIT","DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY","Download from usbank.com. COSTCO WHSE #115LEXINGTON   KY","-11.5800"
"12/11/2017","DEBIT","DEBIT PURCHASE KROGER    3101 RLEXINGTON   KY","Download from usbank.com. KROGER    3101 RLEXINGTON   KY","-12.2300"
